token	duration	length	syllaType	position	speaker	sanoiDur	vcdDur
b2.14	261	long vowel	GV	nonfinal	Speaker #3	400	261
b2.15	262	long vowel	GV	nonfinal	Speaker #3	383	262
b2.16	294	long vowel	V	nonfinal	Speaker #3	376	294
b2.17	343	long vowel	V	final	Speaker #3	343	266
b2.18	231	short vowel	V	final	Speaker #3	367	154
b2.19	261	short vowel	GV	final	Speaker #3	400	131
b2.20	330	long vowel	CV	final	Speaker #3	384	268
b3.1	235	short vowel	V	final	Speaker #3	383	130
b3.2	121	short vowel	GV	nonfinal	Speaker #3	375	121
b3.3	125	short vowel	V	nonfinal	Speaker #3	377	125
b3.4	231	long vowel	CVN	nonfinal	Speaker #3	433	231
b3.5	142	short vowel	CVN	final	Speaker #3	393	142
b3.6	191	short vowel	GV	final	Speaker #3	380	119
b3.7	325	short vowel	GV	final	Speaker #3	331	125
b3.8	165	short vowel	CV	final	Speaker #3	369	83
b3.9	443	long vowel	GV	final	Speaker #3	516	274
b3.10	218	long vowel	V	nonfinal	Speaker #3	465	218
b3.11	236	short vowel	GV	final	Speaker #3	434	110
b3.12	202	long vowel	GV	nonfinal	Speaker #3	454	202
b3.13	108	short vowel	CVN	final	Speaker #3	431	108
b3.14	391	long vowel	CV	final	Speaker #3	413	249
b3.15	112	short vowel	GV	nonfinal	Speaker #3	412	112
b3.16	238	long vowel	CV	nonfinal	Speaker #3	436	238
b3.17	90	short vowel	CVN	nonfinal	Speaker #3	468	90
b3.18	233	short vowel	V	final	Speaker #3	390	121
b3.19	392	long vowel	V	final	Speaker #3	418	269
b3.20	119	short vowel	GV	nonfinal	Speaker #3	392	119
b4.1	79	short vowel	CV	nonfinal	Speaker #3	471	79
b4.2	210	long vowel	CV	nonfinal	Speaker #3	499	210
b4.3	371	long vowel	CV	final	Speaker #3	486	262
b4.4	164	short vowel	V	nonfinal	Speaker #3	556	164
b4.5	205	long vowel	V	nonfinal	Speaker #3	548	205
b4.6	202	long vowel	CVN	nonfinal	Speaker #3	511	202
b4.7	245	short vowel	GV	final	Speaker #3	478	142
b4.8	422	long vowel	V	final	Speaker #3	450	279
b4.9	133	short vowel	V	nonfinal	Speaker #3	495	133
b4.10	107	short vowel	CVN	nonfinal	Speaker #3	439	107
b4.11	139	short vowel	GV	nonfinal	Speaker #3	514	139
b4.12	266	long vowel	CVN	final	Speaker #3	608	266
b4.13	174	long vowel	CVN	nonfinal	Speaker #3	559	174
b4.14	92	short vowel	GV	nonfinal	Speaker #3	528	92
b4.15	92	short vowel	CVN	nonfinal	Speaker #3	498	92
b4.16	185	long vowel	CV	nonfinal	Speaker #3	519	185
b4.17	104	short vowel	V	nonfinal	Speaker #3	540	104
b4.18	145	short vowel	CV	final	Speaker #3	522	56
